child,all,even,first200,first400,first800,odd,rec:B018a1ddd7825,rec:B1329b9cb691b,rec:B3d0ede4734d3,rec:B3f16ac6256e6,rec:B4a77825e7c06,rec:B4c144b0e31ac,rec:B4cb60380085a,rec:B6274c7e6938f,rec:B7116e2ba0693,rec:B7e5c5fda0c76,rec:B95c11b9630b5,rec:Babd62bd011f9,rec:Bc8698b5fd4ea,rec:Bcf04c678c557,rec:Bd007dc424ddc,rec:Bd25987f72256,rec:Bd2980aa79f71,rec:Bd3b249797b57,rec:Bdc61b92b5207,rec:Bf01015be23f4,rec:Bf454d333d715,rec:Bf9d7dd3adf2b
47,0.9763745634533001,0.9816560290722731,0.9897476608640667,0.9737469476355195,0.9842397517286425,0.9722605535416641,,,,,,,,,,,,,,,,,,,,,,
48,0.5530417231536748,0.5748547081525037,0.8026917022115984,0.6621340258394378,0.5530417231536748,0.5334905543308626,,,,,,,,,,,,,,,,,,,,,,
49,0.022630361670678733,0.08487074690761814,0.10480000142745273,0.3605464868798146,0.028675634796784897,0.0,,,,,,,,,,,,,,,,,,,,,,
50,0.22649818056010013,0.4083275292558085,0.4240209757110963,0.3425779809409086,0.22649818056010013,0.05614071869866989,,,,,,,,,,,,,,,,,,,,,,
51,0.7894117409180511,0.6971712467443868,0.22799226207024959,0.47529912415434544,0.7256885793742365,0.8397218941015145,,,,,,,,,,,,0.921003134615257,0.3967454681730115,,,,,,,,,
52,0.5928446185271992,0.37445784178165864,0.8764013441516744,0.8127055412386373,0.06136825017759634,1.0,,,,,,,,,,,,,,,,,,,,,,
53,0.8265972681531569,0.8598639892707242,0.9887511129988692,0.8345972933481483,0.5966781327405686,0.7769903464101074,,,,,,,,,,,,,,,,,,,,,,
54,0.9977366423151927,0.9872180178177562,0.9418856306363503,0.9364121190088871,0.9585850639943577,0.9974444787184991,,,,,,,,,,,,,,,,,,,,,,
55,0.8638517208601092,0.6544949877649774,0.08692094793882939,0.7417459992207358,0.8638517208601092,0.2953806543282133,,,,,,,,,,,,,,,,,,,,,,
56,0.6979922752631481,0.6194912777824922,0.5804578145525056,0.772258630308177,0.6872383145803278,0.8196715439581804,,,,,,,,,,,,,,,,,,,,,,
57,0.6511353716704171,0.7470030177975605,0.713487600342832,0.6216363933523312,0.6693363298443176,0.5862301431307294,,,,,,,,,,,,,,,,,,,,,,
58,0.46656281159166646,0.6372691871292258,0.0014622114262564962,0.16530363054842548,0.4241677089624699,0.2607246802388052,,,,,,,,,,,,,,,,,,,,,,
59,0.0,0.0,0.002673914041209362,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,
60,1.0,0.056385508202052265,0.9087742984742804,0.8785278603935816,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
61,0.7946113654981194,0.5341262247376823,0.8290028689966366,0.7815655946169038,0.7767607622023776,0.9001394974234431,,,,,,,,,,,,,,,,,,,,,,
62,0.7454489628496711,0.6404732170856683,0.6842132270314565,0.7783333424002196,0.6708232578350954,0.8270233395219173,,,,,,,,,,,,,,,,,,,,,,
63,0.0,0.05176866919838143,0.5725904937547858,0.0,0.15500018456849707,0.2130882047926828,,,,,,,,,,,,,,,,,,,,,,
64,0.24699887909325444,0.0,0.03390722157021998,0.2545269315183498,0.2725274241133721,0.5137426708081548,,,,,,,,,,,,,,,,,,,,,,
65,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
66,0.7213121588380372,0.5675514101501206,0.492046285741358,0.6984948160860782,0.8553566980707275,0.9638081232848295,,,,,,,,,,,,,,,,,,,,,,
67,0.0,0.0,0.34906363395620754,0.1397744143964903,0.004191627156215638,0.6609011896710328,,,,,,,,,,,,,,,,,,,,,,
68,0.7477420888936969,0.75494615290149,0.8868889424542351,0.8671938891055591,0.7477420888936969,0.7264970193226237,,,,,,,,,,,,,,,,,,,,,,
69,0.2316546387359207,0.898335834035795,1.0,0.9948415561082369,0.47291206647678147,0.026460013864211054,,,,,,,,,,,,,,,,,,,,,,
70,0.0,0.5457707181776361,0.03383258994649264,0.06168007444721337,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
71,0.9567171672808568,0.931087636231221,0.9966537731674048,0.9352763336119159,0.9176053162651986,0.9709612761664388,,,,,,,,,,,,,,,,,,,,,,
72,0.029804964030654434,0.38794766985556695,0.0,0.06837602364924256,0.029804964030654434,0.0,,,,,,,,,,,,,,,,,,,,,,
