model,seed,fold,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
shared,22,2,49,1,994,196,0.5027875811978927,0.4976279985678482,1.0000790357589722,-7.903575897216797e-05
shared,22,2,50,1,730,149,0.5010338573854382,0.5221557370421283,1.0016629695892334,-0.0016629695892333984
shared,22,2,52,1,991,198,0.5207688486377011,0.5028436954666462,0.9993534088134766,0.0006465911865234375
shared,22,2,63,1,949,190,0.5002149642881908,0.5023091325150821,1.002143144607544,-0.0021431446075439453
shared,22,2,64,1,983,197,0.5128937885069942,0.5165103783211273,0.999954342842102,4.565715789794922e-05
shared,22,2,65,1,987,197,0.5069909400501188,0.5127192700636124,1.000097632408142,-9.763240814208984e-05
shared,22,2,70,1,793,158,0.5218977374663609,0.5043905113126682,1.0014837980270386,-0.0014837980270385742
shared,22,3,6,1,779,158,0.49124523532888975,0.5102325771010416,1.0118149518966675,-0.01181495189666748
shared,22,3,9,1,457,69,0.45717540714178995,0.47125728372926934,1.009537935256958,-0.009537935256958008
shared,22,3,17,1,732,146,0.4810533451774277,0.4871896769367432,1.0041043758392334,-0.0041043758392333984
shared,22,3,19,1,996,200,0.4964038944723618,0.5030402010050251,1.0021551847457886,-0.0021551847457885742
shared,22,3,23,1,988,199,0.5758227130583208,0.5618523542936482,0.9923137426376343,0.007686257362365723
shared,22,3,26,1,966,195,0.5167115634041703,0.49603911004689216,1.003601312637329,-0.0036013126373291016
shared,22,3,34,1,999,200,0.4796964956195244,0.4828598247809762,1.0044349431991577,-0.004434943199157715
shared,22,3,38,2,1980,397,0.5148539822515996,0.5194191750828625,1.0008106231689453,-0.0008106231689453125
shared,22,3,41,1,993,200,0.4839123581336696,0.47912042875157634,1.0035409927368164,-0.0035409927368164062
shared,22,3,45,2,1946,393,0.5151705063990077,0.50639491159686,0.998991847038269,0.001008152961730957
shared,22,3,53,1,978,196,0.4688788558901822,0.4655971084085808,1.0098956823349,-0.009895682334899902
shared,22,3,62,1,918,189,0.48755271046080373,0.4841269841269841,1.0038896799087524,-0.0038896799087524414
shared,22,3,67,1,997,200,0.4546988707653702,0.4679454203262233,1.0073115825653076,-0.007311582565307617
shared,22,3,71,1,956,191,0.5371077575882011,0.5094719912397769,0.9983183741569519,0.0016816258430480957
shared,22,4,1,2,1971,395,0.5205246417785774,0.5279653665745678,0.9998036623001099,0.00019633769989013672
shared,22,4,3,1,992,199,0.5144860494147915,0.5159878839341727,1.000676155090332,-0.0006761550903320312
shared,22,4,7,1,553,97,0.5354946644962923,0.5093710435883523,0.9974586963653564,0.0025413036346435547
shared,22,4,8,1,965,196,0.4880908149996019,0.49127212653591995,1.0026803016662598,-0.0026803016662597656
shared,22,4,13,1,993,200,0.5339880201765448,0.5162011349306431,0.9979293346405029,0.0020706653594970703
shared,22,4,15,1,940,188,0.4919859099139882,0.48204787234042556,1.0019268989562988,-0.0019268989562988281
shared,22,4,22,2,988,185,0.5275891084110262,0.5232843054760863,0.9980902671813965,0.0019097328186035156
shared,22,4,27,1,991,199,0.4930460382721689,0.5005742094309934,1.0019018650054932,-0.001901865005493164
shared,22,4,40,1,774,151,0.4442401114028467,0.4433684479074761,1.005540132522583,-0.005540132522583008
shared,22,4,51,2,1989,397,0.5022562434337936,0.5074348442464209,1.000949501991272,-0.0009495019912719727
shared,22,4,55,1,658,128,0.4773290094339622,0.48179540094339623,1.0025005340576172,-0.0025005340576171875
shared,22,4,59,2,1843,373,0.48000310043588473,0.46477631266984004,1.0009315013885498,-0.0009315013885498047
shared,22,4,66,1,861,174,0.5271252656059162,0.5231139888570998,0.9988669157028198,0.0011330842971801758
shared,22,4,69,1,965,191,0.5094666991355169,0.5114080658035364,1.0019407272338867,-0.0019407272338867188
shared,33,0,1,2,1971,395,0.5096808134678403,0.5080487373899634,1.0006664991378784,-0.000666499137878418
shared,33,0,3,1,992,199,0.5051898838454568,0.5086307958455583,1.000683307647705,-0.0006833076477050781
shared,33,0,15,1,940,188,0.47724507695789953,0.46941489361702127,1.0030391216278076,-0.003039121627807617
shared,33,0,21,1,874,173,0.45575272319477544,0.47883700411468344,1.0055439472198486,-0.005543947219848633
shared,33,0,26,1,966,195,0.5109880607935083,0.5056869200838072,1.0019550323486328,-0.0019550323486328125
shared,33,0,44,1,841,169,0.5120764652014652,0.5121601155255002,1.0006825923919678,-0.0006825923919677734
shared,33,0,50,1,730,149,0.5377617853966201,0.5265568506047199,0.9974522590637207,0.002547740936279297
shared,33,0,51,2,1989,397,0.518312595724213,0.5091262357125679,1.0000847578048706,-8.475780487060547e-05
shared,33,0,55,1,658,128,0.4982900943396227,0.47629716981132075,1.000145435333252,-0.00014543533325195312
shared,33,0,56,1,996,200,0.49613693467336684,0.5052010050251257,1.0017249584197998,-0.0017249584197998047
shared,33,0,58,1,975,195,0.52620644312952,0.517948717948718,0.9980798959732056,0.0019201040267944336
shared,33,0,61,1,933,184,0.4793819295292274,0.48246575143669823,1.0019992589950562,-0.0019992589950561523
shared,33,0,64,1,983,197,0.5353295617468128,0.5197943710362821,0.9976582527160645,0.002341747283935547
shared,33,0,69,1,965,191,0.5203133244043996,0.5106267840956749,0.9993491172790527,0.0006508827209472656
shared,33,0,71,1,956,191,0.5265954898538823,0.526379906238237,0.9988349676132202,0.0011650323867797852
shared,33,1,7,1,553,97,0.5578766503888587,0.5142317778983541,0.9964224696159363,0.0035775303840637207
shared,33,1,8,1,965,196,0.4847967145245615,0.494377139672514,1.0020639896392822,-0.0020639896392822266
shared,33,1,13,1,993,200,0.5231210592686002,0.526390290037831,0.9971302151679993,0.0028697848320007324
shared,33,1,17,1,732,146,0.4965811865912385,0.5018233671513395,1.0010496377944946,-0.001049637794494629
shared,33,1,18,1,937,186,0.48449379322194064,0.47989419125753474,1.002604365348816,-0.002604365348815918
shared,33,1,19,1,996,200,0.5056155778894472,0.5077261306532663,1.0013599395751953,-0.0013599395751953125
shared,33,1,20,2,1813,365,0.48518882918337997,0.49289525467342765,1.0040879249572754,-0.004087924957275391
shared,33,1,32,1,1000,200,0.5377624999999999,0.531875,0.9968773722648621,0.0031226277351379395
shared,33,1,33,1,967,193,0.4740196275320989,0.4761751750545581,1.0053046941757202,-0.005304694175720215
shared,33,1,34,1,999,200,0.5288704630788486,0.518319774718398,0.9992246627807617,0.0007753372192382812
shared,33,1,35,1,972,195,0.5021285021285021,0.49752499752499757,1.0009043216705322,-0.0009043216705322266
shared,33,1,38,2,1980,397,0.508639496158014,0.49272815223462135,1.0005956888198853,-0.0005956888198852539
shared,33,1,53,1,978,196,0.4748779946761313,0.5005154235607286,1.0080516338348389,-0.008051633834838867
shared,33,1,54,1,990,197,0.512280679294077,0.5112340850461846,0.9993639588356018,0.0006360411643981934
shared,33,1,68,1,727,152,0.4750514874141877,0.48505148741418763,1.0024127960205078,-0.0024127960205078125
shared,33,2,9,1,457,69,0.5485955475870312,0.5359890930823248,0.9957634210586548,0.004236578941345215
shared,33,2,11,1,893,181,0.48418973865541,0.5018467937177975,1.0092613697052002,-0.009261369705200195
shared,33,2,23,1,988,199,0.5394494653240856,0.5092445752208443,0.9967842102050781,0.003215789794921875
shared,33,2,24,2,1832,366,0.511042649788652,0.510520803047585,0.9999713897705078,2.86102294921875e-05
shared,33,2,27,1,991,199,0.5224639612202426,0.5082514846962083,0.9984489679336548,0.0015510320663452148
shared,33,2,28,1,528,106,0.49175087185907185,0.48477599928462844,1.0027718544006348,-0.0027718544006347656
shared,33,2,30,1,989,196,0.48466170831510413,0.4965900609928713,1.0038650035858154,-0.0038650035858154297
shared,33,2,36,1,875,173,0.49826671936498523,0.4851991831760618,1.0004006624221802,-0.0004006624221801758
shared,33,2,37,1,737,156,0.474739617811907,0.48707467231563617,1.0063785314559937,-0.006378531455993652
shared,33,2,39,1,996,198,0.4981804258120047,0.4858168147641832,1.001022219657898,-0.0010222196578979492
shared,33,2,43,1,972,191,0.5457126385155292,0.5393441084393079,0.9974812269210815,0.002518773078918457
shared,33,2,45,2,1946,393,0.5122728888845196,0.49715645168425554,0.9987083673477173,0.0012916326522827148
shared,33,2,59,2,1843,373,0.5189418394703725,0.515396399846802,1.0002120733261108,-0.00021207332611083984
shared,33,2,62,1,918,189,0.5057736552935456,0.5049970605526162,1.001802682876587,-0.001802682876586914
shared,33,2,66,1,861,174,0.5015936354966621,0.5057596747477789,1.001159906387329,-0.0011599063873291016
