model,seed,partition,train_block,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
child_spatial,22,early_late_halves,1,49,1,481,95,0.485846741205345,0.4740523588764658,1.0265448093414307,-0.026544809341430664
child_spatial,22,early_late_halves,1,50,1,293,64,0.6182792030567685,0.6140488537117904,0.9765760898590088,0.02342391014099121
child_spatial,22,early_late_halves,1,51,2,965,194,0.5396058138446521,0.5097844545174963,0.9972238540649414,0.0027761459350585938
child_spatial,22,early_late_halves,1,52,1,479,96,0.5164545256744996,0.5305972584856397,1.0111050605773926,-0.011105060577392578
child_spatial,22,early_late_halves,1,53,1,483,97,0.5505314887025266,0.5361759521393088,0.9965216517448425,0.0034783482551574707
child_spatial,22,early_late_halves,1,54,1,484,98,0.5507824891614677,0.545363223009411,0.997738242149353,0.0022617578506469727
child_spatial,22,early_late_halves,1,55,1,337,65,0.45183823529411765,0.45319570135746606,1.0452255010604858,-0.04522550106048584
child_spatial,22,early_late_halves,1,56,1,482,98,0.5738865858843538,0.5581685799319729,0.9896756410598755,0.010324358940124512
child_spatial,22,early_late_halves,1,57,1,486,98,0.5505470229328845,0.5394750683778666,0.9973164796829224,0.0026835203170776367
child_spatial,22,early_late_halves,1,58,1,479,98,0.4576436873962183,0.4637634581391612,1.0208975076675415,-0.020897507667541504
child_spatial,22,early_late_halves,1,59,2,927,191,0.4793919303437286,0.49569272137491466,1.0124802589416504,-0.01248025894165039
child_spatial,22,early_late_halves,1,60,1,287,44,0.4897119341563786,0.48760755705200154,1.0129928588867188,-0.01299285888671875
child_spatial,22,early_late_halves,1,61,1,467,94,0.5051480235012263,0.5072015287205521,1.0127124786376953,-0.012712478637695312
child_spatial,22,early_late_halves,1,62,1,457,93,0.6394600023632282,0.5967889637244477,0.9765323400497437,0.023467659950256348
child_spatial,22,early_late_halves,1,63,1,464,91,0.4503284918834517,0.4788910821082403,1.0151383876800537,-0.015138387680053711
child_spatial,22,early_late_halves,1,64,1,479,96,0.6165143603133159,0.6049689947780679,0.9707461595535278,0.029253840446472168
child_spatial,22,early_late_halves,1,65,1,477,96,0.6449994531933508,0.5932168635170604,0.9641638398170471,0.03583616018295288
child_spatial,22,early_late_halves,1,66,1,446,93,0.56215541137409,0.5342989430077066,0.9874792098999023,0.012520790100097656
child_spatial,22,early_late_halves,1,67,1,485,98,0.5033881769762169,0.5056161999683595,1.0048649311065674,-0.004864931106567383
child_spatial,22,early_late_halves,1,68,1,326,66,0.6981351981351981,0.6582167832167831,0.9421651363372803,0.05783486366271973
child_spatial,22,early_late_halves,1,69,1,465,95,0.5047652916073969,0.5056187766714082,1.0161793231964111,-0.016179323196411133
child_spatial,22,early_late_halves,1,70,1,384,78,0.4361907156024803,0.44004524886877827,1.060023307800293,-0.06002330780029297
child_spatial,22,early_late_halves,1,71,1,480,97,0.5723937444483325,0.5625420580872655,0.9915130734443665,0.008486926555633545
child_spatial,22,early_late_halves,1,72,1,341,70,0.4687401159725883,0.48110173958882446,1.015244960784912,-0.01524496078491211
child_spatial_meanfilter,22,early_late_halves,1,0,1,426,86,0.5858071135430917,0.5448700410396716,0.9943332672119141,0.0056667327880859375
child_spatial_meanfilter,22,early_late_halves,1,1,2,963,194,0.5237220650731301,0.5196734278015364,0.9988216161727905,0.0011783838272094727
child_spatial_meanfilter,22,early_late_halves,1,2,1,432,87,0.41994002998500757,0.4505247376311844,1.006457805633545,-0.006457805633544922
child_spatial_meanfilter,22,early_late_halves,1,3,1,483,97,0.615418513968271,0.5519336573900967,0.9892910718917847,0.010708928108215332
child_spatial_meanfilter,22,early_late_halves,1,4,2,948,192,0.5775531856261023,0.5467509920634921,0.9947217702865601,0.005278229713439941
child_spatial_meanfilter,22,early_late_halves,1,5,1,484,98,0.48552659405731213,0.4773183884952945,1.0009377002716064,-0.0009377002716064453
child_spatial_meanfilter,22,early_late_halves,1,6,1,373,79,0.5076422974252992,0.5279212951003186,1.002318263053894,-0.002318263053894043
child_spatial_meanfilter,22,early_late_halves,1,8,1,469,95,0.5533070644525753,0.5129186602870813,0.9961772561073303,0.0038227438926696777
child_spatial_meanfilter,22,early_late_halves,1,10,1,478,96,0.6758835078534031,0.5778523123909249,0.9842579364776611,0.015742063522338867
child_spatial_meanfilter,22,early_late_halves,1,11,1,458,95,0.4530665506742062,0.4598956067855589,1.0054922103881836,-0.005492210388183594
child_spatial_meanfilter,22,early_late_halves,1,12,1,478,95,0.4948055517383537,0.4964270990792909,1.0009098052978516,-0.0009098052978515625
child_spatial_meanfilter,22,early_late_halves,1,13,1,482,98,0.5896311649659864,0.5607727465986394,0.9901871085166931,0.009812891483306885
child_spatial_meanfilter,22,early_late_halves,1,14,1,483,98,0.484958918632388,0.4976808905380334,1.0021071434020996,-0.0021071434020996094
child_spatial_meanfilter,22,early_late_halves,1,15,1,433,85,0.4638100067613252,0.49858012170385396,1.0027633905410767,-0.00276339054107666
child_spatial_meanfilter,22,early_late_halves,1,16,1,475,94,0.5712151672530296,0.5747752275646395,0.9974132776260376,0.0025867223739624023
child_spatial_meanfilter,22,early_late_halves,1,17,1,408,80,0.4165967987804878,0.4557926829268293,1.0050814151763916,-0.0050814151763916016
child_spatial_meanfilter,22,early_late_halves,1,18,1,425,84,0.5140343527440302,0.5126378997346739,0.9989452362060547,0.0010547637939453125
child_spatial_meanfilter,22,early_late_halves,1,19,1,480,98,0.6348701784378673,0.5887648253018485,0.9914054870605469,0.008594512939453125
child_spatial_meanfilter,22,early_late_halves,1,20,2,916,184,0.6091856735566643,0.594811712995961,0.9929935932159424,0.007006406784057617
child_spatial_meanfilter,22,early_late_halves,1,21,1,446,92,0.5723870056497176,0.5322402358142962,0.9948450326919556,0.005154967308044434
child_spatial_meanfilter,22,early_late_halves,1,22,2,509,101,0.5791715200931857,0.5622330615414483,0.9959000945091248,0.004099905490875244
child_spatial_meanfilter,22,early_late_halves,1,23,1,482,98,0.5509805484693877,0.5549000850340136,0.997287392616272,0.0027126073837280273
child_spatial_meanfilter,22,early_late_halves,1,24,2,819,165,0.4603234176628672,0.4851959966638866,1.0033577680587769,-0.0033577680587768555
child_spatial_meanfilter,22,early_late_halves,1,25,2,879,179,0.5492976855546687,0.5317916999201915,0.9966557025909424,0.003344297409057617
child_spatial_meanfilter,22,early_late_halves,1,26,1,475,97,0.4946135384279714,0.4919407625593193,1.0020365715026855,-0.002036571502685547
child_spatial_meanfilter,22,early_late_halves,1,27,1,481,98,0.47443651089678696,0.4635264027281931,1.002411127090454,-0.0024111270904541016
