mode,outer_fold,window,family,calibration,effect,first,second,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,units,bootstrap_scope
R_SIM,1,post,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,-0.00015166903478736407,-0.001337773985272185,0.0009962630861615467,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,1,pre,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,0.0006871300977137763,-0.0014859551861769185,0.002890135767037247,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,1,pre,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,0.0006046271901545288,-0.001572560931108387,0.0027434660340636915,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,1,pre,logistic,raw,gain_mu_var,HMU,HMUVAR,0.00043906458702540845,-0.0014115244552504703,0.0023361143657573778,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,1,pre,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,0.0002915001933464122,-0.0015820207338352182,0.0021408501871835444,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,1,pre,logistic,temperature,gain_mu_var,HMU,HMUVAR,0.0006871300977137763,-0.0014859551861769185,0.002890135767037247,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,1,pre,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,0.0006046271901545288,-0.001572560931108387,0.0027434660340636915,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,2,post,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,-0.004535772060500579,-0.01060181083008762,-0.0003112868658684955,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,2,post,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,-0.002653736193258793,-0.005093451528284281,-0.0004631308275066821,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,2,post,logistic,raw,gain_mu_var,HMU,HMUVAR,-0.0009373394722336907,-0.0018206746184182463,-0.00032445680670111453,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,2,post,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,-0.0010049493902216302,-0.0019307020224954622,-0.0003231293929038093,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,2,post,logistic,temperature,gain_mu_var,HMU,HMUVAR,-0.004535772060500579,-0.01060181083008762,-0.0003112868658684955,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,2,post,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,-0.002653736193258793,-0.005093451528284281,-0.0004631308275066821,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,2,pre,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,0.0011729577202433345,-0.00181163163704605,0.005689532844340196,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,2,pre,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,0.0010839287303019004,-0.002053881156374962,0.0060944329911267,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,2,pre,logistic,raw,gain_mu_var,HMU,HMUVAR,9.411111750613513e-05,-0.00048452780299849236,0.0007046721996748368,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,2,pre,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,0.00036411058403341083,-0.00034877796739317185,0.0011619003515442932,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,2,pre,logistic,temperature,gain_mu_var,HMU,HMUVAR,0.0011729577202433345,-0.00181163163704605,0.005689532844340196,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,2,pre,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,0.0010839287303019004,-0.002053881156374962,0.0060944329911267,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
