representation,probability_mode,family,model,intervention,ce_increase_bits,perturbed_ce_bits,ci_lower,ci_upper,n_candidates,n_bootstrap,OOD_diagnostic,seed
R_SIM,raw,linear,C_LR,zero_first,0.0007735054953286377,0.9997405503363711,-0.0003615363291889807,0.0019039655153597955,60,2000,True,20260917
R_SIM,raw,linear,C_LR,zero_second,-8.558920700730832e-05,0.9988814556340351,-0.0010222638697081291,0.0007970924933561906,60,2000,True,20260917
R_SIM,raw,linear,C_RR,opposite_class_first,0.0010271639126638755,1.001126718471734,-0.00025908094201871907,0.0022407268550632188,60,2000,True,20260917
R_SIM,raw,linear,C_RR,opposite_class_second,0.001027163912663868,1.001126718471734,-0.00025908094201872287,0.002240726855063215,60,2000,True,20260917
R_SIM,raw,linear,C_RR,same_class_first,-0.0011099921361805468,0.9989895624228898,-0.001554041500247489,-0.0006804975207964143,60,2000,True,20260917
R_SIM,raw,linear,C_RR,same_class_second,-0.0011099921361805412,0.9989895624228899,-0.0015540415002474797,-0.0006804975207964067,60,2000,True,20260917
R_SIM,raw,linear,C_RR,zero_first,-0.0005375387323381775,0.9995620158267324,-0.001155551975269358,3.6437250645338344e-05,60,2000,True,20260917
R_SIM,raw,linear,C_RR,zero_second,-0.0005375387323381775,0.9995620158267324,-0.001155551975269358,3.6437250645338344e-05,60,2000,True,20260917
R_SIM,raw,mlp32,C_LL,opposite_class_first,0.0022395302645839424,1.0011275552515355,0.0006492259680676371,0.0037952831279162236,60,2000,True,20260917
R_SIM,raw,mlp32,C_LL,opposite_class_second,0.0022401776845242896,1.0011282026714758,0.0006490850073275965,0.0037956680619068137,60,2000,True,20260917
R_SIM,raw,mlp32,C_LL,same_class_first,-0.0007581120170385369,0.998129912969913,-0.00131375581771409,-0.00021687448127228655,60,2000,True,20260917
R_SIM,raw,mlp32,C_LL,same_class_second,-0.0007582157219252539,0.9981298092650263,-0.0013139449884175586,-0.00021669370613631994,60,2000,True,20260917
R_SIM,raw,mlp32,C_LL,zero_first,-8.394294846763202e-05,0.998804082038484,-0.0007658454283363268,0.0005814746755020197,60,2000,True,20260917
R_SIM,raw,mlp32,C_LL,zero_second,-8.377294741069297e-05,0.9988042520395409,-0.0007656257589501348,0.0005819444830224771,60,2000,True,20260917
R_SIM,raw,mlp32,C_LR,opposite_class_first,0.004508484885035467,1.004017512700678,0.0017330447358950422,0.007095446385393926,60,2000,True,20260917
R_SIM,raw,mlp32,C_LR,opposite_class_second,0.002941027017692677,1.0024500548333353,0.0006250296911749695,0.005078285761644277,60,2000,True,20260917
R_SIM,raw,mlp32,C_LR,same_class_first,0.00023877194168675508,0.9997477997573294,-0.0006689871689093606,0.0011682807547768812,60,2000,True,20260917
R_SIM,raw,mlp32,C_LR,same_class_second,-0.0008719556384453283,0.9986370721771973,-0.0016998285618303184,-4.101113427468007e-05,60,2000,True,20260917
R_SIM,raw,mlp32,C_LR,zero_first,0.0006289037101190905,1.0001379315257617,-0.0006815417586207032,0.0019059973335222567,60,2000,True,20260917
R_SIM,raw,mlp32,C_LR,zero_second,-0.00046177979760260354,0.99904724801804,-0.0015445357468462,0.0005516052766955764,60,2000,True,20260917
R_SIM,raw,mlp32,C_RR,opposite_class_first,0.001513648453766649,1.0013773441407996,0.00010182433942270441,0.0028697029658272906,60,2000,True,20260917
R_SIM,raw,mlp32,C_RR,opposite_class_second,0.001513673752468712,1.0013773694395018,0.00010145897425340246,0.0028699568514730955,60,2000,True,20260917
R_SIM,raw,mlp32,C_RR,same_class_first,-0.0013269018979315482,0.9985367937891014,-0.0017909723171004141,-0.0008380075120425771,60,2000,True,20260917
R_SIM,raw,mlp32,C_RR,same_class_second,-0.0013270166094512704,0.9985366790775817,-0.001791242932405434,-0.0008380945244744633,60,2000,True,20260917
R_SIM,raw,mlp32,C_RR,zero_first,-0.0004756808391971808,0.9993880148478359,-0.0010891422746254257,0.00012194638387561478,60,2000,True,20260917
R_SIM,raw,mlp32,C_RR,zero_second,-0.0004757878781853427,0.9993879078088478,-0.0010892952025535697,0.00012172496124681046,60,2000,True,20260917
