packet,source_run,mode,population,family,window,calibration,first,second,n_candidates,estimate,leave_one_out_min,leave_one_out_max,all_leave_one_out_positive,positive_candidates,negative_candidates,max_absolute_share,scope
N3,N3_core_001,R_SIM,P_nat,logistic,,temperature,H,HP,60,-0.0001884964031992,-0.0005132333035796,0.0001428741829804,False,30,30,0.0480480627385148,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,logistic,,temperature,HB,HBP,60,0.0001004002383222,-0.0002418749756093,0.0004200817882636,False,32,28,0.0500818368439429,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,logistic,,temperature,H,Hnoise,60,-0.001467140802108,-0.001640585273834,-0.0012772400683551,False,19,41,0.0601768069190658,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,mlp32,,mixture_diagnostic,H,HP,60,-0.0666649558298121,-0.0686415802905333,-0.0662231091334733,False,2,58,0.0220856382982229,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,mlp32,,mixture_diagnostic,HB,HBP,60,-0.0158190706758254,-0.0168294784789202,-0.0154454883060845,False,2,58,0.042217286297582,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,mlp32,,mixture_diagnostic,H,Hnoise,60,-0.0727981555874408,-0.0750363993846246,-0.0724275928497868,False,2,58,0.0206742668714254,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,mlp32,,raw,H,HP,60,-0.0878029101856325,-0.0897613152360255,-0.0859719869218146,False,1,59,0.0367843478300707,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,mlp32,,raw,HB,HBP,60,-0.1293507933481755,-0.1315152571927774,-0.1272586344029337,False,0,60,0.0325713981046107,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,mlp32,,raw,H,Hnoise,60,-0.1127428908367451,-0.1141117039307534,-0.1117034036837035,False,0,60,0.0257329799354805,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,mlp32,,temperature,H,HP,60,-0.0777815904755565,-0.0792594697824079,-0.0772329218589179,False,1,59,0.0235082317561955,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,mlp32,,temperature,HB,HBP,60,-0.0474665164652017,-0.0484481482174482,-0.0464972878565544,False,1,59,0.0364778663778476,descriptive fixed predictions; no candidate removed from any reported effect
