model,seed,fold,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
shared,22,3,62,1,999,200,0.6594837296620777,0.606026282853567,0.9634935259819031,0.036506474018096924
shared,22,3,67,1,997,200,0.49374529485570895,0.48022898368883316,1.0130839347839355,-0.013083934783935547
shared,22,3,71,1,991,198,0.4842943941304597,0.46814933700179606,1.0137834548950195,-0.013783454895019531
shared,22,4,1,2,1977,395,0.5525956568356031,0.5224887580214117,0.9936163425445557,0.006383657455444336
shared,22,4,3,1,998,200,0.5917481203007519,0.5614661654135339,0.9855595827102661,0.014440417289733887
shared,22,4,7,1,993,198,0.4767835588590306,0.490041928721174,1.0125318765640259,-0.012531876564025879
shared,22,4,8,1,990,199,0.5652249871354244,0.524677750319232,0.9921015501022339,0.007898449897766113
shared,22,4,13,1,995,200,0.5335000000000001,0.516069182389937,1.0017387866973877,-0.0017387866973876953
shared,22,4,15,1,977,193,0.5361736015649783,0.5278827852384477,0.9991122484207153,0.000887751579284668
shared,22,4,22,2,1331,261,0.5466913739391986,0.5231084613456511,0.9947550296783447,0.0052449703216552734
shared,22,4,27,1,997,200,0.45294228356336264,0.4691813048933501,1.020554542541504,-0.020554542541503906
shared,22,4,40,1,966,191,0.5122952204019591,0.5045735517649046,1.0067174434661865,-0.0067174434661865234
shared,22,4,51,2,1991,397,0.5743523414315016,0.5393928428078847,0.988467812538147,0.011532187461853027
shared,22,4,55,1,821,161,0.48364389233954447,0.49360060229625446,1.0115256309509277,-0.011525630950927734
shared,22,4,59,2,1947,387,0.5448825614523289,0.5391969787318625,0.9984424114227295,0.0015575885772705078
shared,22,4,66,1,913,182,0.5993596007275898,0.5667458396596563,0.9796816110610962,0.02031838893890381
shared,22,4,69,1,979,196,0.5221023275210468,0.5169155784919333,1.0028867721557617,-0.0028867721557617188
shared,33,0,1,2,1977,395,0.5125942165821185,0.5130358943173998,1.002441644668579,-0.0024416446685791016
shared,33,0,3,1,998,200,0.6032518796992481,0.5732894736842105,0.9823155403137207,0.017684459686279297
shared,33,0,15,1,977,193,0.54447102675267,0.5249715818970075,0.996021032333374,0.0039789676666259766
shared,33,0,21,1,943,184,0.5859540585438505,0.5585474308300395,0.9895316362380981,0.010468363761901855
shared,33,0,26,1,990,198,0.45835884093459855,0.4779040404040404,1.0146993398666382,-0.014699339866638184
shared,33,0,44,1,960,190,0.5176008202323992,0.5076896787423103,1.0017725229263306,-0.0017725229263305664
shared,33,0,50,1,924,186,0.5705116997406533,0.5383119153772183,0.9895746111869812,0.010425388813018799
shared,33,0,51,2,1991,397,0.5761285235249314,0.5563305721392249,0.9881726503372192,0.011827349662780762
shared,33,0,55,1,821,161,0.488866930171278,0.4979907773386034,1.0095129013061523,-0.009512901306152344
shared,33,0,56,1,996,200,0.5642933417085427,0.5470979899497488,0.993141770362854,0.006858229637145996
shared,33,0,58,1,996,200,0.5733856783919598,0.5616206030150754,0.9908170700073242,0.009182929992675781
shared,33,0,61,1,983,195,0.5660061174020565,0.5354841858648965,0.9918031692504883,0.008196830749511719
shared,33,0,64,1,989,197,0.6104509562631389,0.5848587396810747,0.978405237197876,0.021594762802124023
shared,33,0,69,1,979,196,0.530384184325071,0.5283902833163917,1.0018588304519653,-0.001858830451965332
shared,33,0,71,1,991,198,0.4850013374603539,0.49591756149133204,1.0103727579116821,-0.010372757911682129
shared,33,1,7,1,993,198,0.43478813290134044,0.47166952544311036,1.0207855701446533,-0.02078557014465332
shared,33,1,8,1,990,199,0.567826490226099,0.5470049361853515,0.9896502494812012,0.010349750518798828
shared,33,1,13,1,995,200,0.5771069182389936,0.5342138364779874,0.9862809181213379,0.01371908187866211
shared,33,1,17,1,932,189,0.433371075363,0.463902953135793,1.0177603960037231,-0.017760396003723145
shared,33,1,18,1,972,193,0.5374766373788635,0.5386904959859524,0.9977315664291382,0.0022684335708618164
shared,33,1,19,1,1000,200,0.6229906249999999,0.6087499999999999,0.9803644418716431,0.019635558128356934
shared,33,1,20,2,1884,374,0.5174983178099657,0.5063533661507951,1.001757025718689,-0.0017570257186889648
shared,33,1,32,1,1000,200,0.6758562499999999,0.60375,0.9674732089042664,0.03252679109573364
shared,33,1,33,1,986,196,0.5111114699044175,0.5048307930767244,1.003450870513916,-0.0034508705139160156
shared,33,1,34,1,999,200,0.622456195244055,0.5903785982478098,0.975852370262146,0.024147629737854004
shared,33,1,35,1,991,200,0.5541877370417194,0.5477812895069532,0.9937986135482788,0.006201386451721191
shared,33,1,38,2,1990,399,0.6460982752292421,0.6098101948775143,0.975445568561554,0.024554431438446045
shared,33,1,53,1,989,198,0.5755404870449118,0.5483213934541369,0.9898711442947388,0.01012885570526123
shared,33,1,54,1,998,200,0.4928978696741855,0.48752506265664164,1.0098419189453125,-0.0098419189453125
shared,33,1,68,1,983,196,0.6400468065243886,0.6047247361460467,0.9752445816993713,0.024755418300628662
shared,33,2,9,1,527,78,0.509865227571241,0.5028125178459254,1.0119552612304688,-0.01195526123046875
shared,33,2,11,1,942,191,0.5092302758625498,0.5087527276022894,1.0091609954833984,-0.009160995483398438
shared,33,2,23,1,994,200,0.5749086901763223,0.5574433249370278,0.9901413321495056,0.009858667850494385
shared,33,2,24,2,1958,395,0.5267896045417365,0.5271378475343587,1.0089870691299438,-0.008987069129943848
shared,33,2,27,1,997,200,0.47322145545796745,0.46483688833124215,1.0197653770446777,-0.019765377044677734
shared,33,2,28,1,815,162,0.4888217722571985,0.4876354148942204,1.0104854106903076,-0.010485410690307617
shared,33,2,30,1,997,199,0.6202850090049244,0.582728806941978,0.9735199213027954,0.02648007869720459
shared,33,2,36,1,927,185,0.4943760472062359,0.4842718729511183,1.0162103176116943,-0.016210317611694336
shared,33,2,37,1,989,199,0.532326187901533,0.5186692958463202,0.9999939203262329,6.079673767089844e-06
shared,33,2,39,1,999,200,0.5030162703379224,0.5078222778473092,1.0110423564910889,-0.011042356491088867
shared,33,2,43,1,994,197,0.5873453114152692,0.5620378449643013,0.9849005341529846,0.01509946584701538
shared,33,2,45,2,1975,396,0.5544816435411749,0.543099615534701,0.9956221580505371,0.004377841949462891
shared,33,2,59,2,1947,387,0.5614904260253099,0.5513168356191612,0.9932671785354614,0.006732821464538574
shared,33,2,62,1,999,200,0.6331351689612016,0.6166426783479348,0.9688891768455505,0.031110823154449463
shared,33,2,66,1,913,182,0.6362502067016431,0.5838118789555178,0.9670724868774414,0.032927513122558594
shared,33,3,0,1,945,187,0.5918509164279768,0.5804925712189409,0.9834080338478088,0.016591966152191162
shared,33,3,4,2,1981,395,0.5558103340942104,0.5392516800485259,0.9942135810852051,0.005786418914794922
shared,33,3,6,1,907,183,0.5391533073695016,0.5188690637925308,1.0023010969161987,-0.0023010969161987305
shared,33,3,12,1,989,196,0.566255758293229,0.5645475718660731,0.9933432340621948,0.006656765937805176
shared,33,3,14,1,999,200,0.5145181476846058,0.5184981226533166,1.0079411268234253,-0.007941126823425293
shared,33,3,16,1,994,195,0.571246108918199,0.5402554475145214,0.9894206523895264,0.010579347610473633
shared,33,3,22,2,1331,261,0.552857449779783,0.5365202134135425,0.9937922358512878,0.006207764148712158
shared,33,3,40,1,966,191,0.5233609187637224,0.5185813207228509,1.007781744003296,-0.0077817440032958984
